sep=,
"Time","INV_Phase_A_Current","INV_Phase_B_Current","INV_Phase_C_Current"
2025-06-03 18:56:10,-0.120,-0.0200,0.0400
2025-06-03 18:56:10,-0.0500,-0.250,0.0750
2025-06-03 18:56:10,-0.200,-0.0800,0.0600
2025-06-03 18:56:10,-0.150,0.400,0.200
2025-06-03 18:56:11,-0.0167,-0.117,0.0833
2025-06-03 18:56:11,0,-0.225,-0.125
2025-06-03 18:56:11,-0.280,-0.0200,-0.520
2025-06-03 18:56:11,-0.0800,-0.0800,0.0600
2025-06-03 18:56:11,-0.400,-0.340,-0.0800
2025-06-03 18:56:11,-0.0250,0.175,0.0250
2025-06-03 18:56:11,-0.480,-0.0400,0.0600
2025-06-03 18:56:11,0.0400,-0.100,-0.160
2025-06-03 18:56:11,-0.0400,0.160,-0.0400
2025-06-03 18:56:11,-0.175,0.0250,-0.100
2025-06-03 18:56:12,-0.100,-0.320,0.180
2025-06-03 18:56:12,-0.225,-0.150,-0.200
2025-06-03 18:56:12,0.167,0.0833,-0.0833
2025-06-03 18:56:12,-0.150,-0.300,0.150
2025-06-03 18:56:12,-0.320,-0.180,-0.0200
2025-06-03 18:56:12,-0.180,-0.160,-0.100
2025-06-03 18:56:12,0.280,0.140,-0.100
2025-06-03 18:56:12,0.275,0.200,0.200
2025-06-03 18:56:12,0.0800,-0.0200,-0.220
2025-06-03 18:56:12,-0.320,-0.100,0.180
2025-06-03 18:56:13,-0.240,0.120,0.120
2025-06-03 18:56:13,0.140,-0.0200,-0.0200
2025-06-03 18:56:13,-0.0500,-0.0250,0.225
2025-06-03 18:56:13,0.150,0.350,0.0500
2025-06-03 18:56:13,0.0833,-0.183,-0.0833
2025-06-03 18:56:13,-0.220,0.0800,-0.120
2025-06-03 18:56:13,-0.150,-0.125,-0.0750
2025-06-03 18:56:13,-0.120,-0.0600,-0.140
2025-06-03 18:56:13,-0.120,0.0800,0.100
2025-06-03 18:56:13,-0.0500,0.150,0.0750
2025-06-03 18:56:14,0.140,0.160,0.0600
2025-06-03 18:56:14,-0.300,-5.55e-18,-0.0600
2025-06-03 18:56:14,-0.0200,0.0400,-0.120
2025-06-03 18:56:14,0.160,-0.0200,-0.0200
2025-06-03 18:56:14,0.325,-0.0250,-0.0500
2025-06-03 18:56:14,0.0250,-0.175,-0.300
2025-06-03 18:56:14,-0.133,-0.350,-0.300
2025-06-03 18:56:14,-0.0800,0.200,0.140
2025-06-03 18:56:14,0.300,0.180,-0.100
2025-06-03 18:56:14,0.0250,0.300,-0.100
2025-06-03 18:56:15,-0.480,-0.200,0.0200
2025-06-03 18:56:15,0.200,0.125,0.0750
2025-06-03 18:56:15,0.200,0.217,0.0500
2025-06-03 18:56:15,0,0.225,-0.125
2025-06-03 18:56:15,0.0600,0.0200,0.0200
2025-06-03 18:56:15,0.0200,0.0600,-0.0400
2025-06-03 18:56:15,-0.140,-2.22e-17,0.160
2025-06-03 18:56:15,-0.0500,-0.125,-0.225
2025-06-03 18:56:15,0.580,0.0800,0.320
2025-06-03 18:56:15,0.300,0.300,0
2025-06-03 18:56:16,-0.240,-0.100,-0.220
2025-06-03 18:56:16,0.100,0.0500,-0.150
2025-06-03 18:56:16,0.0400,-0.220,-0.100
2025-06-03 18:56:16,-0.0500,0.0250,-0.0250
2025-06-03 18:56:16,0.0667,0.0500,0.0667
2025-06-03 18:56:16,0.175,0.0750,0.300
2025-06-03 18:56:16,-0.240,-0.160,0.0600
2025-06-03 18:56:16,0.280,0.160,0.240
2025-06-03 18:56:16,0.0600,0.100,-0.0800
2025-06-03 18:56:16,-0.325,-0.0750,-0.475
2025-06-03 18:56:17,0.200,0.0600,-0.100
2025-06-03 18:56:17,-0.0800,-0.180,-0.100
2025-06-03 18:56:17,0.460,0.280,-0.0200
2025-06-03 18:56:17,-0.160,0.0800,-0.120
2025-06-03 18:56:17,-0.425,-0.350,0.0750
2025-06-03 18:56:17,0.0250,0.125,0.0750
2025-06-03 18:56:17,0.100,0.233,0.267
2025-06-03 18:56:17,-0.440,-0.240,0.0600
2025-06-03 18:56:17,-0.300,0.0250,0.225
2025-06-03 18:56:17,-0.0200,0.180,0.0400
2025-06-03 18:56:18,-0.320,0.0800,0.0200
2025-06-03 18:56:18,0.200,0.0500,0
2025-06-03 18:56:18,-0.160,0.0200,-0.180
2025-06-03 18:56:18,-0.0800,-0.0200,-0.120
2025-06-03 18:56:18,0.120,0.120,-0.0800
2025-06-03 18:56:18,-0.120,-0.0200,0.0600
2025-06-03 18:56:18,-0.0500,0.175,-0.0250
2025-06-03 18:56:18,0.0750,0.200,-0.0250
2025-06-03 18:56:18,0.350,0.0667,0.0333
2025-06-03 18:56:18,-0.0333,0,-0.0333
2025-06-03 18:56:19,0.100,0.100,-0.180
2025-06-03 18:56:19,-0.450,-0.300,0.325
2025-06-03 18:56:19,-0.0400,0.0400,0.0600
2025-06-03 18:56:19,0.150,0.225,0.125
2025-06-03 18:56:19,0.367,0.200,0.267
2025-06-03 18:56:19,-0.225,-0.225,0.225
2025-06-03 18:56:19,-1.11e-17,0.0400,-0.0200
2025-06-03 18:56:19,0.0600,0.120,-0.140
2025-06-03 18:56:19,-0.180,0.200,0.0600
2025-06-03 18:56:19,-0.0250,-0.200,0.0250
2025-06-03 18:56:20,0.0600,0.140,0
2025-06-03 18:56:20,0.140,0.0400,0.0400
2025-06-03 18:56:20,0.0200,-1.11e-17,0.0600
2025-06-03 18:56:20,0.100,0.0250,0.0750
2025-06-03 18:56:20,-0.460,-0.160,-0.180
2025-06-03 18:56:20,0.0500,-0.0750,-0.0250
2025-06-03 18:56:20,-0.0667,-1.85e-17,-0.150
2025-06-03 18:56:20,-0.325,-0.0500,0
2025-06-03 18:56:20,-0.180,-0.240,0.0600
2025-06-03 18:56:20,0.260,0.120,0.200
2025-06-03 18:56:21,0.0600,0.160,-0.100
2025-06-03 18:56:21,-0.525,-0.0500,-0.100
2025-06-03 18:56:21,0.240,-0.200,-0.0600
2025-06-03 18:56:21,0.0600,0.0800,-0.280
2025-06-03 18:56:21,0.700,0.160,0.140
2025-06-03 18:56:21,-0.300,-0.140,-0.180
2025-06-03 18:56:21,-0.0500,0.0250,-0.0500
2025-06-03 18:56:21,-0.275,0.100,0.0250
2025-06-03 18:56:21,-0.0333,0,-0.0333
2025-06-03 18:56:21,-0.0800,-0.200,0.0200
2025-06-03 18:56:22,0.250,0.150,0.0750
2025-06-03 18:56:22,0.160,0.0400,0.120
2025-06-03 18:56:22,-0.100,-0.100,0.0600
2025-06-03 18:56:22,-0.725,-0.225,0
2025-06-03 18:56:22,0.0400,0.0600,0.0200
2025-06-03 18:56:22,-0.240,-5.55e-18,-0.0400
2025-06-03 18:56:22,-0.0800,0.0200,0.0200
2025-06-03 18:56:22,-0.160,0.0800,-0.0600
2025-06-03 18:56:22,0.225,0.225,0.100
2025-06-03 18:56:22,0.150,0.125,0.100
2025-06-03 18:56:23,1.85e-17,0.0833,-0.100
2025-06-03 18:56:23,0.0400,0.120,0.100
2025-06-03 18:56:23,-0.100,-0.240,-0.100
2025-06-03 18:56:23,-0.175,-0.0750,-0.0250
2025-06-03 18:56:23,-0.100,-0.240,-0.0400
2025-06-03 18:56:23,0.225,-0.100,0.125
2025-06-03 18:56:23,-0.100,0,0.200
2025-06-03 18:56:23,0.0250,0,0.0250
2025-06-03 18:56:23,0.340,0.260,0.0800
2025-06-03 18:56:23,0.480,0.280,0.260
2025-06-03 18:56:24,0.120,0.0200,-0.0600
2025-06-03 18:56:24,0.0500,0.500,0
2025-06-03 18:56:24,0.160,-0.140,0.0800
2025-06-03 18:56:24,0.140,0.140,-0.120
2025-06-03 18:56:24,0.380,0.0200,-0.140
2025-06-03 18:56:24,0.125,-0.125,-0.0500
2025-06-03 18:56:24,-0.180,-0.0600,0
2025-06-03 18:56:24,0.0250,0.0500,0.175
2025-06-03 18:56:24,-0.0333,-0.0833,-0.283
2025-06-03 18:56:24,-0.0500,0.0250,0.0250
2025-06-03 18:56:25,-0.0600,-0.120,0.0600
2025-06-03 18:56:25,0.0200,0.280,0.0800
2025-06-03 18:56:25,-0.140,-0.0800,-0.180
2025-06-03 18:56:25,-0.400,-0.150,0
2025-06-03 18:56:25,-0.380,0.0400,-0.340
2025-06-03 18:56:25,-0.360,-0.120,-0.120
2025-06-03 18:56:25,-0.0400,0.0600,-0.120
2025-06-03 18:56:25,-0.240,-0.0200,-0.0200
2025-06-03 18:56:25,-0.250,0.125,-0.150
2025-06-03 18:56:25,0,-0.0750,0.100
2025-06-03 18:56:26,-0.183,-0.150,-0.200
2025-06-03 18:56:26,-0.0800,0.340,0
2025-06-03 18:56:26,0.0750,0.125,-0.150
2025-06-03 18:56:26,-0.160,-0.240,-0.120
2025-06-03 18:56:26,0.0600,0.100,0.0600
2025-06-03 18:56:26,0.125,0.0250,0.100
2025-06-03 18:56:26,0.100,-0.0200,0.180
2025-06-03 18:56:26,-0.120,0.120,0.0200
2025-06-03 18:56:26,0.340,0.180,0.0600
2025-06-03 18:56:26,0.0200,-0.160,-0.100
2025-06-03 18:56:27,0.0500,0.0250,-0.300
2025-06-03 18:56:27,0.500,0.150,0.0750
2025-06-03 18:56:27,0.283,0.133,-0.150
2025-06-03 18:56:27,-0.200,-0.300,-0.200
2025-06-03 18:56:27,0.0600,0.120,-0.0800
2025-06-03 18:56:27,-0.325,0.100,-0.0750
2025-06-03 18:56:27,0.260,0.200,0.140
2025-06-03 18:56:27,-0.150,-0.225,-0.0500
2025-06-03 18:56:27,-0.100,-4.63e-18,0.0667
2025-06-03 18:56:27,-0.175,-0.250,-0.175
2025-06-03 18:56:28,-0.100,-0.0400,-0.180
2025-06-03 18:56:28,-0.380,-0.0800,0
2025-06-03 18:56:28,0.140,0.0600,0.200
2025-06-03 18:56:28,-0.400,-0.325,0.125
2025-06-03 18:56:28,-0.120,0.120,-0.180
2025-06-03 18:56:28,0.0400,0,0.160
2025-06-03 18:56:28,-0.100,0.140,-0.0600
2025-06-03 18:56:28,0.325,0.150,0.200
2025-06-03 18:56:28,0.440,0.220,-0.0800
2025-06-03 18:56:28,-0.600,-0.350,0.100
2025-06-03 18:56:29,-1.85e-17,-0.0500,-0.0333
2025-06-03 18:56:29,0.150,-0.175,0.0500
2025-06-03 18:56:29,0.0600,0.0600,-0.0200
2025-06-03 18:56:29,-0.0200,-0.160,0.0400
2025-06-03 18:56:29,0.500,0.280,0.180
2025-06-03 18:56:29,0.125,0.0500,0.100
2025-06-03 18:56:29,0.340,-0.0200,0.0200
2025-06-03 18:56:29,0.200,0.140,0.0600
2025-06-03 18:56:29,0.320,0.0200,0.0400
2025-06-03 18:56:29,0.100,0.0600,0.0400
2025-06-03 18:56:30,-0.0750,-0.0250,-0.100
2025-06-03 18:56:30,0.0750,0.150,-0.175
2025-06-03 18:56:30,0.183,0.0500,0.0333
2025-06-03 18:56:30,0.0600,-0.0800,0.0600
2025-06-03 18:56:30,-0.150,-0.0500,0.150
2025-06-03 18:56:30,0.360,0.0800,0.160
2025-06-03 18:56:30,-0.160,-0.100,-0.100
2025-06-03 18:56:30,-0.0500,-0.0250,-0.100
2025-06-03 18:56:30,-0.0200,-0.0200,-0.0400
2025-06-03 18:56:30,-0.220,-0.140,-0.240
2025-06-03 18:56:31,5.55e-18,-5.55e-18,-0.100
2025-06-03 18:56:31,0,0.0400,-0.140
2025-06-03 18:56:31,-0.300,0.0250,-0.0500
2025-06-03 18:56:31,0.125,0.100,0.175
2025-06-03 18:56:31,-0.0167,-0.117,0.0667
2025-06-03 18:56:31,0.0600,-0.0600,0.120
2025-06-03 18:56:31,-0.220,-0.180,0
2025-06-03 18:56:31,-0.0500,0.0500,0.0500
2025-06-03 18:56:31,0.0200,-0.0600,-0.0800
2025-06-03 18:56:31,0.100,-0.0500,0
2025-06-03 18:56:32,1.85e-17,0.100,-0.0500
2025-06-03 18:56:32,0.200,0.225,0.0750
2025-06-03 18:56:32,-0.120,0.0800,-0.0600
2025-06-03 18:56:32,0.160,0.360,0.340
2025-06-03 18:56:32,0.0600,0.240,0
2025-06-03 18:56:32,0.425,-0.0500,-0.175
2025-06-03 18:56:32,-0.140,-0.0800,0.100
2025-06-03 18:56:32,0.140,0,0.0600
2025-06-03 18:56:32,0.200,-0.0600,0.0400
2025-06-03 18:56:32,-0.0500,0.125,0.0500
2025-06-03 18:56:33,0.100,0.140,0.100
2025-06-03 18:56:33,0.0250,0.125,0.150
2025-06-03 18:56:33,0.267,0.100,0.100
2025-06-03 18:56:33,-0.400,-0.125,0.100
2025-06-03 18:56:33,-0.280,-0.160,0.0200
2025-06-03 18:56:33,-0.140,-0.100,-0.0200
