"Time","INV_Control_Board_Temp","INV_Coolant_Temp","INV_Gate_Driver_Board_Temp","INV_Hot_Spot_Temp","INV_Module_A_Temp","INV_Module_B_Temp","INV_Module_C_Temp"
2025-06-03 18:56:10,29.9,1.80,9.30,1.80,9.50,9.50,9.50
2025-06-03 18:56:10,29.9,1.90,10.7,1.90,10.8,10.8,10.8
2025-06-03 18:56:10,29.9,2,12,2,12.2,12.2,12.2
2025-06-03 18:56:10,30,2.10,13.4,2.10,13.6,13.6,13.6
2025-06-03 18:56:11,30.2,2.30,14.8,2.30,14.9,14.9,14.9
2025-06-03 18:56:11,30.3,2.50,16.1,2.50,16.3,16.3,16.3
2025-06-03 18:56:11,30.4,2.60,17.5,2.60,17.6,17.6,17.6
2025-06-03 18:56:11,30.4,2.80,18.8,2.80,19,19,19
2025-06-03 18:56:11,30.5,3,20.2,3,20.4,20.4,20.4
2025-06-03 18:56:11,30.4,3.30,21.6,3.30,21.7,21.7,21.7
2025-06-03 18:56:11,30.4,3.50,22.9,3.50,23.1,23.1,23.1
2025-06-03 18:56:11,30.4,3.80,24.3,3.80,24.4,24.4,24.4
2025-06-03 18:56:11,30.4,4,25.6,4,25.8,25.8,25.8
2025-06-03 18:56:11,30.5,4.30,27,4.30,27.2,27.2,27.2
2025-06-03 18:56:12,30.6,4.60,28.4,4.60,28.5,28.5,28.3
2025-06-03 18:56:12,30.7,4.90,29.7,4.90,29.8,29.7,29
2025-06-03 18:56:12,30.7,5.30,31.1,5.30,30.5,30.4,29.3
2025-06-03 18:56:12,30.8,5.60,32.3,5.60,30.9,30.7,29.5
2025-06-03 18:56:12,30.8,5.90,33,5.90,31.1,30.9,29.5
2025-06-03 18:56:12,30.8,6.20,33.3,6.20,31.3,31,29.6
2025-06-03 18:56:12,30.7,6.60,33.5,6.60,31.3,31.1,29.6
2025-06-03 18:56:12,30.6,6.90,33.6,6.90,31.4,31.1,29.6
2025-06-03 18:56:12,30.6,7.20,33.7,7.20,31.5,31.2,29.7
2025-06-03 18:56:12,30.8,7.50,33.8,7.50,31.5,31.2,29.7
2025-06-03 18:56:13,30.8,7.80,33.8,7.80,31.6,31.3,29.7
2025-06-03 18:56:13,31,8.10,33.9,8.10,31.6,31.3,29.7
