sep=,
"Time","INV_DC_Bus_Voltage","INV_DC_Bus_Current"
2025-06-03 18:56:10,0.0400 Volts,0 Amps
2025-06-03 18:56:10,0 Volts,0 Amps
2025-06-03 18:56:10,0.0600 Volts,0 Amps
2025-06-03 18:56:10,0.0500 Volts,0 Amps
2025-06-03 18:56:11,0.0333 Volts,0 Amps
2025-06-03 18:56:11,0.0500 Volts,0 Amps
2025-06-03 18:56:11,0 Volts,0 Amps
2025-06-03 18:56:11,0.0200 Volts,0 Amps
2025-06-03 18:56:11,0.0200 Volts,0 Amps
2025-06-03 18:56:11,0 Volts,0 Amps
2025-06-03 18:56:11,0.0200 Volts,0 Amps
2025-06-03 18:56:11,0.0200 Volts,0 Amps
2025-06-03 18:56:11,0.0200 Volts,0 Amps
2025-06-03 18:56:11,0.0500 Volts,0 Amps
2025-06-03 18:56:12,0.0200 Volts,0 Amps
2025-06-03 18:56:12,0.0250 Volts,0 Amps
2025-06-03 18:56:12,0 Volts,0 Amps
2025-06-03 18:56:12,0.0250 Volts,0 Amps
2025-06-03 18:56:12,0.0200 Volts,0 Amps
2025-06-03 18:56:12,0 Volts,0 Amps
2025-06-03 18:56:12,0.0400 Volts,0 Amps
2025-06-03 18:56:12,0.0500 Volts,0 Amps
2025-06-03 18:56:12,0.0200 Volts,0 Amps
2025-06-03 18:56:12,0 Volts,0 Amps
2025-06-03 18:56:13,0.0400 Volts,0 Amps
2025-06-03 18:56:13,0.0400 Volts,0 Amps
2025-06-03 18:56:13,0.0500 Volts,0 Amps
2025-06-03 18:56:13,0.0250 Volts,0 Amps
2025-06-03 18:56:13,0.0333 Volts,0 Amps
2025-06-03 18:56:13,0.0600 Volts,0 Amps
2025-06-03 18:56:13,0.0250 Volts,0 Amps
2025-06-03 18:56:13,0 Volts,0 Amps
2025-06-03 18:56:13,0.0200 Volts,0 Amps
2025-06-03 18:56:13,0.0500 Volts,0 Amps
2025-06-03 18:56:14,0.0400 Volts,0 Amps
2025-06-03 18:56:14,0.0400 Volts,0 Amps
2025-06-03 18:56:14,0.0400 Volts,0 Amps
2025-06-03 18:56:14,0 Volts,0 Amps
2025-06-03 18:56:14,0.0250 Volts,0 Amps
2025-06-03 18:56:14,0.0250 Volts,0 Amps
2025-06-03 18:56:14,0.0167 Volts,0 Amps
2025-06-03 18:56:14,0.0200 Volts,0 Amps
2025-06-03 18:56:14,0.0600 Volts,0 Amps
2025-06-03 18:56:14,0.0750 Volts,0 Amps
2025-06-03 18:56:15,0.0400 Volts,0 Amps
2025-06-03 18:56:15,0 Volts,0 Amps
2025-06-03 18:56:15,0.0167 Volts,0 Amps
2025-06-03 18:56:15,0.0500 Volts,0 Amps
2025-06-03 18:56:15,0.0200 Volts,0 Amps
2025-06-03 18:56:15,0.0400 Volts,0 Amps
2025-06-03 18:56:15,0 Volts,0 Amps
2025-06-03 18:56:15,0.0500 Volts,0 Amps
2025-06-03 18:56:15,0 Volts,0 Amps
2025-06-03 18:56:15,0.0200 Volts,0 Amps
2025-06-03 18:56:16,0.0200 Volts,0 Amps
2025-06-03 18:56:16,0.0250 Volts,0 Amps
2025-06-03 18:56:16,0.0200 Volts,0 Amps
2025-06-03 18:56:16,0.0500 Volts,0 Amps
2025-06-03 18:56:16,0 Volts,0 Amps
2025-06-03 18:56:16,0.0250 Volts,0 Amps
2025-06-03 18:56:16,0 Volts,0 Amps
2025-06-03 18:56:16,0.0200 Volts,0 Amps
2025-06-03 18:56:16,0.0200 Volts,0 Amps
2025-06-03 18:56:16,0.0250 Volts,0 Amps
2025-06-03 18:56:17,0.0200 Volts,0 Amps
2025-06-03 18:56:17,0.0200 Volts,0 Amps
2025-06-03 18:56:17,0.0200 Volts,0 Amps
2025-06-03 18:56:17,0.0200 Volts,0 Amps
2025-06-03 18:56:17,0 Volts,0 Amps
2025-06-03 18:56:17,0 Volts,0 Amps
2025-06-03 18:56:17,0.0500 Volts,0 Amps
2025-06-03 18:56:17,0.0400 Volts,0 Amps
2025-06-03 18:56:17,0.0250 Volts,0 Amps
2025-06-03 18:56:17,0.0200 Volts,0 Amps
2025-06-03 18:56:18,0.0200 Volts,0 Amps
2025-06-03 18:56:18,0.0250 Volts,0 Amps
2025-06-03 18:56:18,0.0200 Volts,0 Amps
2025-06-03 18:56:18,0 Volts,0 Amps
2025-06-03 18:56:18,0 Volts,0 Amps
2025-06-03 18:56:18,0.0200 Volts,0 Amps
2025-06-03 18:56:18,0.0250 Volts,0 Amps
2025-06-03 18:56:18,0.0250 Volts,0 Amps
2025-06-03 18:56:18,0.0333 Volts,0 Amps
2025-06-03 18:56:18,0.0667 Volts,0 Amps
2025-06-03 18:56:19,0.0200 Volts,0 Amps
2025-06-03 18:56:19,0.0250 Volts,0 Amps
2025-06-03 18:56:19,0.0400 Volts,0 Amps
2025-06-03 18:56:19,0 Volts,0 Amps
2025-06-03 18:56:19,0 Volts,0 Amps
2025-06-03 18:56:19,0.0250 Volts,0 Amps
2025-06-03 18:56:19,0.0400 Volts,0 Amps
2025-06-03 18:56:19,0.0600 Volts,0 Amps
2025-06-03 18:56:19,0.0400 Volts,0 Amps
2025-06-03 18:56:19,0.0250 Volts,0 Amps
2025-06-03 18:56:20,0.0200 Volts,0 Amps
2025-06-03 18:56:20,0.0200 Volts,0 Amps
2025-06-03 18:56:20,0 Volts,0 Amps
2025-06-03 18:56:20,0 Volts,0 Amps
2025-06-03 18:56:20,0 Volts,0 Amps
2025-06-03 18:56:20,0 Volts,0 Amps
2025-06-03 18:56:20,0.0500 Volts,0 Amps
2025-06-03 18:56:20,0.0500 Volts,0 Amps
2025-06-03 18:56:20,0 Volts,0 Amps
2025-06-03 18:56:20,0.0400 Volts,0 Amps
2025-06-03 18:56:21,0.0200 Volts,0 Amps
2025-06-03 18:56:21,0.0250 Volts,0 Amps
2025-06-03 18:56:21,0 Volts,0 Amps
2025-06-03 18:56:21,0.0400 Volts,0 Amps
2025-06-03 18:56:21,0.0400 Volts,0 Amps
2025-06-03 18:56:21,0.0400 Volts,0 Amps
2025-06-03 18:56:21,0.0250 Volts,0 Amps
2025-06-03 18:56:21,0 Volts,0 Amps
2025-06-03 18:56:21,0.0500 Volts,0 Amps
2025-06-03 18:56:21,0.0600 Volts,0 Amps
2025-06-03 18:56:22,0 Volts,0 Amps
2025-06-03 18:56:22,0.0200 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0 Volts,0 Amps
2025-06-03 18:56:22,0.0200 Volts,0 Amps
2025-06-03 18:56:22,0 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0.0250 Volts,0 Amps
2025-06-03 18:56:22,0.0250 Volts,0 Amps
2025-06-03 18:56:23,0.0333 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0.0400 Volts,0 Amps
2025-06-03 18:56:23,0.0750 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0 Volts,0 Amps
2025-06-03 18:56:23,0.0667 Volts,0 Amps
2025-06-03 18:56:23,0.0500 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0.0400 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0.0250 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0333 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0750 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0250 Volts,0 Amps
2025-06-03 18:56:26,0.0167 Volts,0 Amps
2025-06-03 18:56:26,0.0200 Volts,0 Amps
2025-06-03 18:56:26,0 Volts,0 Amps
