sep=,
"Time","sensorReading {messageName=""M165_Motor_Position_Info"", rawCAN=""165"", signalName=""INV_Motor_Speed""}"
2025-05-20 21:55:27.300,0
2025-05-20 21:55:27.400,0
2025-05-20 21:55:27.500,0
2025-05-20 21:55:27.600,0
2025-05-20 21:55:27.700,0
2025-05-20 21:55:27.800,0
2025-05-20 21:55:27.900,0
2025-05-20 21:55:28.000,0
2025-05-20 21:55:28.100,0
2025-05-20 21:55:28.200,0
2025-05-20 21:55:28.300,0
2025-05-20 21:55:28.400,0
2025-05-20 21:55:28.500,0
2025-05-20 21:55:28.600,0
2025-05-20 21:55:28.700,0
2025-05-20 21:55:28.800,0
2025-05-20 21:55:28.900,0
2025-05-20 21:55:29.000,0
2025-05-20 21:55:29.100,0
2025-05-20 21:55:29.200,0
2025-05-20 21:55:29.300,0
2025-05-20 21:55:29.400,0
2025-05-20 21:55:29.500,0
2025-05-20 21:55:29.600,0
2025-05-20 21:55:29.700,0
2025-05-20 21:55:29.800,0
2025-05-20 21:55:29.900,0
2025-05-20 21:55:30.000,0
2025-05-20 21:55:30.100,0
2025-05-20 21:55:30.200,0
2025-05-20 21:55:30.300,0
2025-05-20 21:55:30.400,0
2025-05-20 21:55:30.500,0
2025-05-20 21:55:30.600,0
2025-05-20 21:55:30.700,0
2025-05-20 21:55:30.800,0
2025-05-20 21:55:30.900,0
2025-05-20 21:55:31.000,0
2025-05-20 21:55:31.100,0
2025-05-20 21:55:31.200,0
2025-05-20 21:55:31.300,0
2025-05-20 21:55:31.400,0
2025-05-20 21:55:31.500,0
2025-05-20 21:55:31.600,0
2025-05-20 21:55:31.700,0
2025-05-20 21:55:31.800,0
2025-05-20 21:55:31.900,0
2025-05-20 21:55:32.000,0
2025-05-20 21:55:32.100,0
2025-05-20 21:55:32.200,0
2025-05-20 21:55:32.300,0
2025-05-20 21:55:32.400,0
2025-05-20 21:55:32.500,0
2025-05-20 21:55:32.600,0
2025-05-20 21:55:32.700,0
2025-05-20 21:55:32.800,0
2025-05-20 21:55:32.900,0
2025-05-20 21:55:33.000,0
2025-05-20 21:55:33.100,0
2025-05-20 21:55:33.200,0
2025-05-20 21:55:33.300,0
2025-05-20 21:55:33.400,0
2025-05-20 21:55:33.500,26
2025-05-20 21:55:33.600,26
2025-05-20 21:55:33.700,29
2025-05-20 21:55:33.800,36
2025-05-20 21:55:33.900,45
2025-05-20 21:55:34.000,55
2025-05-20 21:55:34.100,66
